item_id,item_fea1,item_fea2,item_fea3,item_fea4,item_fea5,item_fea6,item_fea7,item_fea8,item_fea9,item_desc
68369805,0,0,0,0,0,0,0,0,0,2649 4577 4971 3094 3968 4261
39741120,0,0,0,0,0,1,0,0,0,2649 4577 4971 3094 3968 4261
23205614,1,1,1,0,0,0,1,1,1,3000 4378 1146 4971 4719 3067 2820 3256 1628 4458 3902 4459 1214 856 3554 2323 4350 3094 808 3968 4258 856 774 3094 2526 2006 932 4459 948 4973 4822 3830 2172 2333 1478
71759346,1,1,1,0,0,1,1,1,1,3000 4378 1146 4971 4719 3067 2820 3256 1628 4458 3902 4459 1214 856 3554 2323 4350 3094 808 3968 4258 856 774 3094 2526 2006 932 4459 948 4973 4822 3830 2172 2333 1478
98234584,1,1,1,0,0,2,1,1,1,3000 4378 1146 4971 4719 3067 2820 3256 1628 4458 3902 4459 1214 856 3554 2323 4350 3094 808 3968 4258 856 774 3094 2526 2006 932 4459 948 4973 4822 3830 2172 2333 1478
42421554,2,2,2,0,0,0,2,2,2,3858 3941 3162 4222 4971 774 4930 3637 4628 932 4459 4581 4759 4971 774 4358 1035 279 1690
72156016,3,3,3,0,0,0,2,2,2,4542 4971 1206 4348 4555 2815 4459 1122 1057 2567 381 1689 856 2817 853 2567 182 1690
93944159,4,4,2,0,0,0,2,2,2,3858 3941 4542 4458 3902 4459 4653 4478 856 1252 4923 850 1906 1076 1372 2567 4459 2789 1868 4841
42184087,5,5,2,0,0,0,2,2,2,3198 2963 4543 285 1690
27742481,6,6,3,0,0,0,3,3,3,2784 2567 4132 2649 4971 774 4929 3279 932 4459 4835 2172 1041 2072 3243 4459 4654 4459 1552 1515 3171 4459 2784 2626 3218
59926659,6,6,3,1,1,0,3,3,3,2784 2567 4132 2649 4971 774 4929 3279 932 4459 4835 2172 1041 2072 3243 4459 4654 4459 1552 1515 3171 4459 2784 2626 3218
73832498,6,6,3,2,2,3,3,3,3,2784 2567 4132 2649 4971 774 4929 3279 932 4459 4835 2172 1041 2072 3243 4459 4654 4459 1552 1515 3171 4459 2784 2626 3218
92701142,7,7,3,0,0,0,2,2,2,573 1689 4542 4971 3639 932 4459 4577 2172 774 3911 1855 3185 4459 4652 856 4480
82694448,8,8,4,0,0,0,4,4,4,3406 2361 1387 4943 366 1439
70795109,8,8,4,3,3,4,4,4,4,3406 2361 1387 4943 366 1439
78047421,8,8,4,4,4,5,4,4,4,3406 2361 1387 4943 366 1439
93505281,9,9,3,0,0,0,0,0,0,379 2784 2567 4269 2649 4971 854 1868 4841
15399430,9,9,3,0,0,1,0,0,0,379 2784 2567 4269 2649 4971 854 1868 4841
23292283,9,9,3,1,1,6,0,0,0,379 2784 2567 4269 2649 4971 854 1868 4841
92767786,10,10,5,0,0,0,5,4,4,4704 4971 774 4433 2399 856 2957 1559 2794 308 1433 2157
67773350,11,11,2,0,0,0,2,2,2,2963 4542 4971 854 1868 4835 856 1946 4147 2172 774 2344 4654 78 1690
77897846,12,12,6,0,0,0,6,5,3,2873 4168 4577 2567 1997 1175 2246 1978 4971 3248 3830 2172 3214 1478 4145 3171 4459 3467 1515 3171 4459 4577 2626 3624
21792540,12,12,6,0,0,1,6,5,3,2873 4168 4577 2567 1997 1175 2246 1978 4971 3248 3830 2172 3214 1478 4145 3171 4459 3467 1515 3171 4459 4577 2626 3624
91636915,12,12,7,1,1,0,6,5,3,2873 4168 4577 2567 1997 1175 2246 1978 4971 3248 3830 2172 3214 1478 4145 3171 4459 3467 1515 3171 4459 4577 2626 3624
80017461,12,12,6,1,1,7,6,5,3,2873 4168 4577 2567 1997 1175 2246 1978 4971 3248 3830 2172 3214 1478 4145 3171 4459 3467 1515 3171 4459 4577 2626 3624
58392222,12,12,6,1,1,3,6,5,3,2873 4168 4577 2567 1997 1175 2246 1978 4971 3248 3830 2172 3214 1478 4145 3171 4459 3467 1515 3171 4459 4577 2626 3624
21552544,13,13,8,0,0,1,7,6,0,4048 1097 2567 4132 3216 1552 2649 4971 3513 932 4459 1605
44241207,13,13,8,0,0,1,7,6,0,4048 1097 2567 4132 3216 1552 2649 4971 3513 932 4459 1605
41093793,14,14,3,0,0,0,2,2,2,3198 2963 2784 4971 854 1868 4841 285 1690
31336244,15,15,3,0,0,0,2,2,2,3858 3941 4206 4971 774 4929 2714 4628 932 4459 4577 856 4001 3185 4459 2602 279 1690
10305273,15,15,9,0,0,8,2,2,2,3858 3941 4206 4971 774 4929 2714 4628 932 4459 4577 856 4001 3185 4459 2602 279 1690
59632498,16,16,10,0,0,0,8,5,3,3764 4638 2567 1997 1175 2246 1978 4971 1870 856 774 1497 1795 932 4459 4841 2987 3981 3441 774 1497 2679 3437 2567 4459 4843 774 5024 932 4459 2465 856 3629 1719 3631 2074
83403755,16,16,10,0,0,3,8,5,3,3764 4638 2567 1997 1175 2246 1978 4971 1870 856 774 1497 1795 932 4459 4841 2987 3981 3441 774 1497 2679 3437 2567 4459 4843 774 5024 932 4459 2465 856 3629 1719 3631 2074
55432652,17,17,1,0,0,0,1,1,1,4255 1146 2567 3000 4971 4719 3256 1628 4458 2815 856 3902 4459 1216 4001 4628 932 4459 4577 856 774 2526 2006 932 4459 948 1709 808 3968 4258 856 3981 4350
88855051,17,17,1,0,0,2,1,1,1,4255 1146 2567 3000 4971 4719 3256 1628 4458 2815 856 3902 4459 1216 4001 4628 932 4459 4577 856 774 2526 2006 932 4459 948 1709 808 3968 4258 856 3981 4350
18487779,17,17,1,0,0,1,1,1,1,4255 1146 2567 3000 4971 4719 3256 1628 4458 2815 856 3902 4459 1216 4001 4628 932 4459 4577 856 774 2526 2006 932 4459 948 1709 808 3968 4258 856 3981 4350
32523271,17,17,1,0,0,9,1,1,1,4255 1146 2567 3000 4971 4719 3256 1628 4458 2815 856 3902 4459 1216 4001 4628 932 4459 4577 856 774 2526 2006 932 4459 948 1709 808 3968 4258 856 3981 4350
50345500,17,17,1,0,0,9,1,1,1,4255 1146 2567 3000 4971 4719 3256 1628 4458 2815 856 3902 4459 1216 4001 4628 932 4459 4577 856 774 2526 2006 932 4459 948 1709 808 3968 4258 856 3981 4350
24269221,18,18,9,0,0,8,2,2,2,3860 4129 4971 774 3951 3895 279 1690
34948599,18,18,11,0,0,0,2,2,2,3860 4129 4971 774 3951 3895 279 1690
60685029,19,19,2,0,0,0,2,2,2,2185 3272 3171 2690 2493 279 1690
60652845,19,19,2,0,0,8,2,2,2,2185 3272 3171 2690 2493 279 1690
37229298,20,20,2,0,0,0,2,2,2,2963 4542 4971 854 1868 4841 279 1690
70426975,20,20,3,0,0,8,2,2,2,2963 4542 4971 854 1868 4841 279 1690
86376653,21,21,3,0,0,0,2,2,2,2488 4542 4458 2815 4459 1207 856 3902 4459 4835 856 4480 381 1690
43772590,22,22,9,0,0,0,9,2,2,3952 2048 4129 1702 4555 1002 2479 1246 5015 3948 4971 774 4001 4628 932 4459 944 3171 4459 2445 4555 2675 4461 2567 3399
64336350,22,22,9,0,0,1,9,2,2,3952 2048 4129 1702 4555 1002 2479 1246 5015 3948 4971 774 4001 4628 932 4459 944 3171 4459 2445 4555 2675 4461 2567 3399
91219317,22,22,9,1,1,10,9,2,2,3952 2048 4129 1702 4555 1002 2479 1246 5015 3948 4971 774 4001 4628 932 4459 944 3171 4459 2445 4555 2675 4461 2567 3399
16724741,23,23,7,0,0,0,10,7,0,2873 4583 2567 4132 3216 1556
94098191,23,23,7,1,1,11,10,7,0,2873 4583 2567 4132 3216 1556
53571060,24,24,12,2,2,7,11,6,1,837 3582 2567 4133 3316 2106 4458 1998 1779 4459 2226 856 846 3189 2783 3702 932 4459 1620 856 2466
36706444,24,24,12,2,2,12,11,6,1,837 3582 2567 4133 3316 2106 4458 1998 1779 4459 2226 856 846 3189 2783 3702 932 4459 1620 856 2466
77182463,24,24,12,2,2,13,11,6,1,837 3582 2567 4133 3316 2106 4458 1998 1779 4459 2226 856 846 3189 2783 3702 932 4459 1620 856 2466
19064710,24,24,12,5,5,14,11,6,1,837 3582 2567 4133 3316 2106 4458 1998 1779 4459 2226 856 846 3189 2783 3702 932 4459 1620 856 2466
