id,date,country,store,product,num_sold
0,2010-01-01,Canada,Discount Stickers,Holographic Goose,800.0
45,2010-01-01,Kenya,Discount Stickers,Holographic Goose,20.0
90,2010-01-02,Canada,Discount Stickers,Holographic Goose,800.0
135,2010-01-02,Kenya,Discount Stickers,Holographic Goose,20.0
180,2010-01-03,Canada,Discount Stickers,Holographic Goose,800.0
225,2010-01-03,Kenya,Discount Stickers,Holographic Goose,20.0
270,2010-01-04,Canada,Discount Stickers,Holographic Goose,800.0
315,2010-01-04,Kenya,Discount Stickers,Holographic Goose,20.0
320,2010-01-04,Kenya,Stickers for Less,Holographic Goose,20.0
360,2010-01-05,Canada,Discount Stickers,Holographic Goose,800.0
405,2010-01-05,Kenya,Discount Stickers,Holographic Goose,20.0
410,2010-01-05,Kenya,Stickers for Less,Holographic Goose,20.0
450,2010-01-06,Canada,Discount Stickers,Holographic Goose,800.0
495,2010-01-06,Kenya,Discount Stickers,Holographic Goose,20.0
500,2010-01-06,Kenya,Stickers for Less,Holographic Goose,20.0
505,2010-01-06,Kenya,Premium Sticker Mart,Holographic Goose,20.0
540,2010-01-07,Canada,Discount Stickers,Holographic Goose,800.0
545,2010-01-07,Canada,Stickers for Less,Holographic Goose,800.0
585,2010-01-07,Kenya,Discount Stickers,Holographic Goose,20.0
590,2010-01-07,Kenya,Stickers for Less,Holographic Goose,20.0
595,2010-01-07,Kenya,Premium Sticker Mart,Holographic Goose,20.0
630,2010-01-08,Canada,Discount Stickers,Holographic Goose,800.0
675,2010-01-08,Kenya,Discount Stickers,Holographic Goose,20.0
680,2010-01-08,Kenya,Stickers for Less,Holographic Goose,20.0
720,2010-01-09,Canada,Discount Stickers,Holographic Goose,800.0
765,2010-01-09,Kenya,Discount Stickers,Holographic Goose,20.0
770,2010-01-09,Kenya,Stickers for Less,Holographic Goose,20.0
810,2010-01-10,Canada,Discount Stickers,Holographic Goose,800.0
855,2010-01-10,Kenya,Discount Stickers,Holographic Goose,20.0
900,2010-01-11,Canada,Discount Stickers,Holographic Goose,800.0
905,2010-01-11,Canada,Stickers for Less,Holographic Goose,800.0
945,2010-01-11,Kenya,Discount Stickers,Holographic Goose,20.0
