Feature,split_importance,gain_importance,split_importance_normalized,gain_importance_normalized,combined_score
curvature,11440,179230.23861459503,1.0,1.0,1.0
lighting,2482,138152.59602865577,0.21695804195804197,0.7708107576965852,0.4938843998273136
speed_limit,2677,132589.9664218286,0.2340034965034965,0.7397745349597028,0.48688901573159965
weather,4489,37681.85402108682,0.3923951048951049,0.21024272640798863,0.3013189156515468
num_reported_accidents,3650,23058.698401491623,0.31905594405594406,0.12865406295126092,0.2238550035036025
num_lanes,1163,51.03385489573702,0.10166083916083916,0.0002847390891749962,0.05097278912500708
holiday,1054,377.6211333768442,0.09213286713286713,0.0021069052649584203,0.047119886198912775
public_road,938,184.60793011076748,0.08199300699300699,0.0010300043761462389,0.041511505684576615
time_of_day,874,34.00661020539701,0.0763986013986014,0.00018973701350988322,0.03829416920605564
road_type,702,20.238848390523344,0.06136363636363636,0.00011292094764234309,0.030738278655639353
road_signs_present,400,17.6508949957788,0.03496503496503497,9.848167994539207e-05,0.01753175832249018
school_season,131,3.0996782798320055,0.011451048951048952,1.7294393534214673e-05,0.005734171672291583
